epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,14124.7,0.58735,0.49974,0.00764,0.97853,0.97668,0.9898,0.83697,0.61689,0.23215,0.01084,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,14309.3,0.58731,0.50099,0.00752,0.98047,0.97383,0.98957,0.83679,0.61817,0.23247,0.01087,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14494.3,0.57277,0.48252,0.00749,0.97908,0.97477,0.98959,0.83733,0.61816,0.23385,0.01087,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14679.2,0.57963,0.50161,0.00752,0.97946,0.97668,0.98966,0.8375,0.61929,0.23203,0.0109,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14864.9,0.56948,0.49027,0.0074,0.98099,0.97493,0.98989,0.83805,0.61981,0.23231,0.01091,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,15049.8,0.56443,0.4854,0.00733,0.9802,0.97568,0.98991,0.83719,0.61981,0.23276,0.01091,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,15234.7,0.56086,0.45912,0.00737,0.98154,0.97514,0.99033,0.83746,0.61922,0.23036,0.01091,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,15419.5,0.56259,0.47267,0.00733,0.97832,0.97823,0.99009,0.83699,0.61799,0.22906,0.01088,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15604.4,0.5494,0.46365,0.00709,0.98368,0.97237,0.98984,0.8366,0.61883,0.23122,0.0109,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15789.1,0.55564,0.46701,0.00717,0.98102,0.97451,0.98956,0.83585,0.6191,0.23098,0.01091,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15973.7,0.54025,0.4496,0.00706,0.98469,0.97361,0.99005,0.83628,0.61867,0.2307,0.0109,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,16158.2,0.54072,0.45097,0.007,0.98218,0.97361,0.99002,0.83707,0.61783,0.23198,0.01089,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,16342.7,0.5414,0.46144,0.00707,0.98276,0.97289,0.99009,0.83697,0.61785,0.23053,0.01089,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,16527.4,0.53545,0.44821,0.00694,0.98434,0.97245,0.98995,0.83671,0.61857,0.23133,0.0109,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,16711.9,0.53323,0.44769,0.0069,0.98026,0.97455,0.98984,0.83652,0.61872,0.23209,0.0109,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,16908.5,0.34884,0.11995,0.00592,0.98049,0.97403,0.98981,0.83684,0.61836,0.23256,0.0109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17092.4,0.34032,0.11759,0.00571,0.98315,0.97134,0.98932,0.836,0.61824,0.23297,0.01089,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,17276.3,0.33574,0.11419,0.00563,0.97957,0.97412,0.98929,0.83601,0.61753,0.2338,0.01088,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,17460.4,0.33138,0.11043,0.00558,0.98114,0.97264,0.98904,0.83668,0.61729,0.23376,0.01087,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,17644.2,0.32665,0.11061,0.00547,0.97857,0.97449,0.98951,0.83654,0.61713,0.23452,0.01086,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,17828.1,0.32303,0.10888,0.0054,0.98063,0.97365,0.98966,0.8364,0.61701,0.23356,0.01086,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,18012,0.31997,0.10568,0.00536,0.98113,0.97342,0.98966,0.83607,0.61687,0.23399,0.01085,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,18195.9,0.31434,0.10481,0.00522,0.98089,0.9726,0.98969,0.83675,0.61702,0.23446,0.01086,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,18379.7,0.31152,0.10308,0.00519,0.97956,0.9738,0.98984,0.83765,0.61665,0.23381,0.01084,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,18563.6,0.31045,0.10448,0.00516,0.98085,0.97241,0.98955,0.83795,0.61666,0.23374,0.01084,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
